dropout_rate,type_I_mean,type_I_std,type_II_mean,type_II_std
0.0,0.0,0.0,0.43333333333333335,0.5040069329937309
0.1,0.0,0.0,0.33333333333333337,0.47946330148538413
0.2,0.03333333333333333,0.18257418583505533,0.09999999999999998,0.30512857662936466
0.3,0.06666666666666667,0.2537081317024625,0.09999999999999998,0.30512857662936466
0.4,0.03333333333333333,0.18257418583505536,0.033333333333333326,0.18257418583505533
0.5,0.03333333333333333,0.18257418583505533,0.0,0.0
0.6,0.7,0.466091599699399,0.0,0.0
0.7,0.6666666666666666,0.47946330148538413,0.0,0.0
0.8,0.7666666666666667,0.4301830671520762,0.0,0.0
0.9,0.6333333333333333,0.4901325178535609,0.0,0.0
1.0,0.7,0.466091599699399,0.0,0.0
