,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,num_leaves,subsample_freq
XGBoost,500,0.02142378559049459,11,0.5183205085168282,0.6752549031902669,0.7879211910673659,0.7115221263908831,,
LightGBM,500,0.022348110778878078,1,0.9804499920979408,0.974042216697295,,,22.0,2.0
SGBT,500,0.025222205457938452,4,0.6437217219392161,,,,,
